zero_index,gamma
1,14.134725141735
2,21.022039638772
3,25.010857580146
4,30.42487612586
5,32.935061587739
6,37.586178158826
7,40.918719012148
8,43.327073280915
9,48.005150881167
10,49.773832477672
11,52.970321477714
12,56.446247697063
13,59.347044002603
14,60.83177852461
15,65.112544048082
16,67.079810529494
17,69.546401711174
18,72.067157674482
19,75.704690699084
20,77.144840068875
21,79.337375020249
22,82.910380854086
23,84.735492980517
24,87.425274613125
25,88.809111207634
26,92.491899270558
27,94.65134404052
28,95.870634228245
29,98.831194218194
30,101.317851005731
31,103.725538040478
32,105.446623052326
33,107.168611184276
34,111.02953554317
35,111.874659176993
36,114.320220915453
37,116.226680320858
38,118.790782865976
39,121.370125002421
40,122.946829293553
41,124.256818554346
42,127.516683879596
43,129.578704199956
44,131.087688530933
45,133.497737202997
46,134.756509753374
47,138.116042054533
48,139.736208952122
49,141.123707404021
50,143.11184580762
51,146.000982486766
52,147.42276534256
53,150.053520420785
54,150.925257612241
55,153.024693811199
56,156.112909294238
57,157.597591817594
58,158.84998817142
59,161.188964137596
60,163.030709687182
61,165.5370691879
62,167.184439978175
63,169.094515415568
64,169.911976479412
65,173.411536519592
66,174.754191523366
67,176.441434297711
68,178.3774077761
69,179.916484020258
70,182.207078484366
71,184.874467848387
72,185.598783677707
73,187.228922583502
74,189.416158656017
75,192.026656360714
76,193.079726603846
77,195.265396679529
78,196.876481840958
79,198.015309676252
80,201.264751943704
81,202.49359451414
82,204.189671803105
83,205.394697202163
84,207.906258887806
85,209.576509716856
86,211.690862595365
87,213.347919359713
88,214.547044783492
89,216.169538508264
90,219.067596349022
91,220.714918839314
92,221.430705554694
93,224.007000254604
94,224.983324669583
95,227.421444279679
96,229.337413305525
97,231.250188700499
98,231.98723525318
99,233.693404178909
100,236.524229665816
101,237.769820480925
102,239.555477573328
103,241.049157796217
104,242.823271934223
105,244.070898497078
106,247.136990074898
107,248.101990060148
108,249.573689644707
109,251.014947795016
110,253.069986747999
111,255.306256454914
112,256.380713694435
113,258.610439491531
114,259.874406989678
115,260.805084504597
116,263.57389390487
117,265.557851838876
118,266.614973781501
119,267.921915082824
120,269.970449023998
121,271.494055641646
122,273.459609188403
123,275.587492649344
124,276.452049503133
125,278.250743529842
126,279.229250927745
127,282.465114765053
128,283.211185733234
129,284.835963980905
130,286.667445363003
131,287.911920501422
132,289.579854929219
133,291.846291329067
134,293.558434139356
135,294.965369619265
136,295.573254878958
137,297.979277061943
138,299.840326053722
139,301.649325462194
140,302.696749589607
141,304.864371340857
142,305.728912602037
143,307.21949612817
144,310.109463146702
145,311.165141530356
146,312.427801180601
147,313.985285731159
148,315.475616089476
149,317.73480594237
150,318.853104256317
151,321.160134309114
152,322.144558672483
153,323.466969557512
154,324.86286605174
155,327.443901261905
156,329.033071680481
157,329.953239728234
158,331.474467582664
159,333.64537852487
160,334.211354833244
161,336.841850428391
162,338.339992850807
163,339.858216725364
164,341.042261111047
165,342.054877510364
166,344.661702940252
167,346.347870566011
168,347.27267758442
169,349.316260870696
170,350.408419349192
171,351.878649025359
172,353.488900488719
173,356.017574977265
174,357.151302252039
175,357.952685101633
176,359.743754953114
177,361.289361695805
178,363.331330578975
179,364.736024114089
180,366.212710288332
181,367.99357548174
182,368.968438095734
183,370.050919212106
184,373.061928372113
185,373.864873910909
186,375.825912766739
187,376.324092230668
188,378.436680249965
189,379.872975346532
190,381.484468617187
191,383.443529449537
192,384.956116814864
193,385.861300845974
194,387.222890222388
195,388.846128354231
196,391.456083563638
197,392.245083339519
198,393.427743844434
199,395.582870010994
200,396.381854222592
201,397.918736209614
202,399.985119876195
203,401.839228600533
204,402.861917763886
205,404.236441800208
206,405.13438745991
207,407.581460386896
208,408.947245502352
209,410.513869193367
210,411.972267804279
211,413.262736070184
212,415.018809755155
213,415.455214996295
214,418.387705789535
215,419.861364818152
216,420.643827625041
217,422.076710058827
218,423.716579627482
219,425.069882494461
220,427.208825084074
221,428.127914076617
222,430.328745430939
223,431.301306930704
224,432.138641734589
225,433.889218480927
226,436.161006432647
227,437.581698167669
228,438.621738656271
229,439.918442214371
230,441.683199201189
231,442.904546302609
232,444.319336277559
233,446.86062269643
234,447.441704194493
235,449.148545685023
236,450.126945780313
237,451.403308445389
238,453.986737806678
239,454.974683768617
240,456.328426689246
241,457.903893064103
242,459.513415281106
243,460.087944422176
244,462.065367274882
245,464.057286910548
246,465.671539211371
247,466.570286930826
248,467.439046210262
249,469.536004559112
250,470.773655478102
251,472.799174661909
252,473.83523234514
253,475.600339369375
254,476.769015237484
255,478.07526376667
256,478.942181534635
257,481.830339376287
258,482.834782790982
259,483.851427212482
260,485.539148129356
261,486.528718261651
262,488.380567090018
263,489.661761577956
264,491.398821593663
265,493.314441581785
266,493.95799780537
267,495.358828822131
268,496.429696215759
269,498.580782429687
270,500.30908494169
271,501.604446965145
272,502.276270327118
273,504.499773313428
274,505.415231742244
275,506.464152709524
276,508.800700336467
277,510.264227943673
278,511.562289700375
279,512.623144531407
280,513.668985555474
281,515.435057167299
282,517.589668572468
283,518.23422314755
284,520.106310411723
285,521.525193449492
286,522.45669617773
287,523.960530892016
288,525.07738568728
289,527.903641601272
290,528.406213852292
291,529.806226318707
292,530.866917883961
293,532.688183028294
294,533.779630753769
295,535.664314075873
296,537.069759083122
297,538.428526176248
298,540.213166376228
299,540.631390247295
300,541.847437121201
301,544.323890101005
302,545.636833248935
303,547.010912058122
304,547.931613364489
305,549.497567562661
306,550.970010039484
307,552.049572200565
308,553.764972119159
309,555.792020561681
310,556.899476406855
311,557.564659172058
312,559.316237028682
313,560.240807497297
314,562.559207616046
315,564.160879110786
316,564.50605593815
317,566.698787682808
318,567.731757901177
319,568.92395517963
320,570.051114782464
321,572.419984132452
322,573.614610526758
323,575.093886014495
324,575.807247140929
325,577.039003472098
326,579.098834672037
327,580.136959362385
328,581.946576265902
329,583.236088219167
330,584.561705903467
331,585.984563204988
332,586.74277189125
333,588.139663266248
334,590.660397516765
335,591.725858065048
336,592.571358300225
337,593.974714682231
338,595.728153697389
339,596.362768328394
340,598.493077346165
341,599.545640364365
342,601.602136735933
343,602.579167886387
344,603.625618903579
345,604.616218493753
346,606.383460422109
347,608.413217311187
348,609.38957515472
349,610.839162937739
350,611.774209620887
351,613.599778675637
352,614.646237872232
353,615.538563369407
354,618.112831366442
355,619.184482597953
356,620.272893672227
357,621.709294527949
358,622.375002739779
359,624.269900018178
360,626.019283427654
361,627.268396850783
362,628.32586235946
363,630.473887438292
364,630.805780927197
365,632.225141167116
366,633.546858252252
367,635.523800310605
368,637.397193159837
369,637.925513980823
370,638.927938266858
371,640.694794668826
372,641.945499665705
373,643.278883781398
374,644.990578229748
375,646.348191595502
376,647.761753004289
377,648.786400888782
378,650.197519345257
379,650.668683891396
380,653.649571605395
381,654.301920586318
382,655.709463022356
383,656.964084599461
384,658.175614418605
385,659.663845972964
386,660.716732595279
387,662.296586431101
388,664.244604652273
389,665.342763095599
390,666.515147704173
391,667.148494894555
392,668.975848820235
393,670.323585205863
394,672.45818358417
395,673.043578286148
396,674.355897810123
397,676.139674363627
398,677.230180668765
399,677.800444746221
400,679.742197882528
401,681.894991533152
402,682.60273501975
403,684.013549813869
404,684.972629862098
405,686.163223587728
406,687.961543184704
407,689.368941362272
408,690.47473503235
409,692.451684415523
410,693.176970060602
411,694.533908699873
412,695.726335920927
413,696.626069900346
414,699.132095476014
415,700.296739132144
416,701.301742954646
417,702.227343145761
418,704.033839295525
419,705.125813954619
420,706.184654799518
421,708.26907088511
422,709.229588570284
423,711.130274179685
424,711.900289914376
425,712.749383470101
426,714.082771820669
427,716.112396454052
428,717.4825697031
429,718.742786545486
430,719.697100988366
431,721.351162218536
432,722.277504975674
433,723.845821045128
434,724.562613890379
435,727.056403230049
436,728.405481588934
437,728.758749795615
438,730.416482122756
439,731.417354918599
440,732.8180527145
441,734.789643252378
442,735.765459208578
443,737.052928912265
444,738.580421171374
445,739.909523674042
446,740.573807447295
447,741.757335572942
448,743.895013142473
449,745.344989550612
450,746.499305899432
451,747.674563624269
452,748.242754465082
453,750.655950362124
454,750.966381066651
455,752.887621567202
456,754.322370471713
457,755.839308976038
458,756.768248439951
459,758.101729246413
460,758.900238224892
461,760.282366983512
